"Fap","diplome","Annee","Pourcentage"
"F0Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.204956796296927
"F0Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.779582487900528
"F0Z","En cours d'études initiales","1982-1984",0.00838224178825398
"F1Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.000943739969699376
"F1Z","Bac + 2","1982-1984",0.00287917525287005
"F1Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0297537738172964
"F1Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.302605571470386
"F1Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.6586608841177
"F1Z","En cours d'études initiales","1982-1984",0.00515685537204835
"F2Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0
"F2Z","Bac + 2","1982-1984",0.00107181696199695
"F2Z","Bac, brevet professionnel ou équivalent","1982-1984",0.00631489471401473
"F2Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.171239307232326
"F2Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.772843084487162
"F2Z","En cours d'études initiales","1982-1984",0.0485308966045001
"F3Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.00152316487580714
"F3Z","Bac + 2","1982-1984",0.00136992853732452
"F3Z","Bac, brevet professionnel ou équivalent","1982-1984",0.042348204039812
"F3Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.395227359006336
"F3Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.555773806715301
"F3Z","En cours d'études initiales","1982-1984",0.00375753682541922
"F4Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.00638591856132189
"F4Z","Bac + 2","1982-1984",0.00254551117378781
"F4Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0434416447842094
"F4Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.322940704840247
"F4Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.61468981023087
"F4Z","En cours d'études initiales","1982-1984",0.00999641040956442
"F5Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.00736407689655103
"F5Z","Bac + 2","1982-1984",0.0328103983367178
