"code_reg","FAP_3","emp_fap_reg","emp_reg","variable","nom_reg","GID","var_classe","REG","emp_fap_reg2","pourcentage"
101,"Q1Z","1096.35","126983.02","0.8634","Guadeloupe","Dom____","0,75 - 1,0","1",1096.35,0.00478900090525156
102,"Q1Z","944.38","129619.25","0.7286","Martinique","Dom____","0,5 - 0,75","2",944.38,0.0041251759701751
103,"Q1Z","403.99","68798.00","0.5872","Guyane","Dom____","0,5 - 0,75","3",403.99,0.00176468142081687
104,"Q1Z","1974.49","260932.19","0.7567","La Réunion","Dom____","0,75 - 1,0","4",1974.49,0.00862483184878018
11,"Q1Z","58901.75","5730403.41","1.0279","Île-de-France","FRA.8_1","1,0 - 1,5","11",58901.75,0.257290586100151
24,"Q1Z","9521.44","975024.95","0.9765","Centre-Val de Loire","FRA.4_1","0,75 - 1,0","24",9521.44,0.0415909014268239
27,"Q1Z","7762.10","1070586.35","0.7250","Bourgogne-Franche-Comté","FRA.2_1","0,5 - 0,75","27",7762.1,0.0339058730575575
28,"Q1Z","9947.37","1269386.93","0.7836","Normandie","FRA.9_1","0,75 - 1,0","28",9947.37,0.0434514196514546
32,"Q1Z","17105.24","2109995.91","0.8107","Hauts-de-France","FRA.7_1","0,75 - 1,0","32",17105.24,0.0747179366484655
44,"Q1Z","16440.04","2060125.53","0.7980","Grand Est","FRA.6_1","0,75 - 1,0","44",16440.04,0.0718122556139662
52,"Q1Z","13920.16","1530280.18","0.9096","Pays de la Loire","FRA.12_1","0,75 - 1,0","52",13920.16,0.0608050885586232
53,"Q1Z","9858.87","1308549.40","0.7534","Bretagne","FRA.3_1","0,75 - 1,0","53",9858.87,0.0430648400189332
75,"Q1Z","21547.03","2326392.53","0.9262","Nouvelle-Aquitaine","FRA.10_1","0,75 - 1,0","75",21547.03,0.0941202592014252
76,"Q1Z","17844.27","2211951.10","0.8067","Occitanie","FRA.11_1","0,75 - 1,0","76",17844.27,0.0779461168272479
84,"Q1Z","25044.20","3200845.62","0.7824","Auvergne-Rhône-Alpes","FRA.1_1","0,75 - 1,0","84",25044.2,0.109396357432664
93,"Q1Z","15567.14","1900656.30","0.8190","Provence-Alpes-Côte d'Azur","FRA.13_1","0,75 - 1,0","93",15567.14,0.067999313679188
94,"Q1Z","1052.02","131710.37","0.7987","Corse","FRA.5_1","0,75 - 1,0","94",1052.02,0.00459536163847562
101,"Q2Z","726.71","126983.02","0.5723","Guadeloupe","Dom____","0,5 - 0,75","1",726.71,0.00280833408722302
102,"Q2Z","725.44","129619.25","0.5597","Martinique","Dom____","0,5 - 0,75","2",725.44,0.00280342623637361
103,"Q2Z","210.18","68798.00","0.3055","Guyane","Dom____","0,25 - 0,5","3",210.18,0.000812229993329574
104,"Q2Z","1126.99","260932.19","0.4319","La Réunion","Dom____","0,25 - 0,5","4",1126.99,0.00435519592816869
106,"Q2Z","9.82","438.45","2.2398","Mayotte","Dom____","2,0 - 2,5","6",9.82,3.79488939694377e-05
11,"Q2Z","120281.13","5730403.41","2.0990","Île-de-France","FRA.8_1","2,0 - 2,5","11",120281.13,0.464820351211217
24,"Q2Z","6587.07","975024.95","0.6756","Centre-Val de Loire","FRA.4_1","0,5 - 0,75","24",6587.07,0.0254553992870941
27,"Q2Z","5923.43","1070586.35","0.5533","Bourgogne-Franche-Comté","FRA.2_1","0,5 - 0,75","27",5923.43,0.0228907960290617
28,"Q2Z","7636.53","1269386.93","0.6016","Normandie","FRA.9_1","0,5 - 0,75","28",7636.53,0.0295109844464796
32,"Q2Z","13717.31","2109995.91","0.6501","Hauts-de-France","FRA.7_1","0,5 - 0,75","32",13717.31,0.0530098516024346
44,"Q2Z","13599.66","2060125.53","0.6601","Grand Est","FRA.6_1","0,5 - 0,75","44",13599.66,0.052555199120204
52,"Q2Z","10924.22","1530280.18","0.7139","Pays de la Loire","FRA.12_1","0,5 - 0,75","52",10924.22,0.0422160963827709
53,"Q2Z","8790.69","1308549.40","0.6718","Bretagne","FRA.3_1","0,5 - 0,75","53",8790.69,0.0339711774672298
75,"Q2Z","18215.43","2326392.53","0.7830","Nouvelle-Aquitaine","FRA.10_1","0,75 - 1,0","75",18215.43,0.0703926091321501
76,"Q2Z","14115.68","2211951.10","0.6382","Occitanie","FRA.11_1","0,5 - 0,75","76",14115.68,0.0545493323448587
84,"Q2Z","21573.53","3200845.62","0.6740","Auvergne-Rhône-Alpes","FRA.1_1","0,5 - 0,75","84",21573.53,0.083369816956872
93,"Q2Z","13997.57","1900656.30","0.7365","Provence-Alpes-Côte d'Azur","FRA.13_1","0,5 - 0,75","93",13997.57,0.0540929022158637
94,"Q2Z","607.68","131710.37","0.4614","Corse","FRA.5_1","0,25 - 0,5","94",607.68,0.00234834866469938
101,"R0Z","2257.60","126983.02","1.7779","Guadeloupe","Dom____","1,5 - 2,0","1",2257.6,0.00693515424958365
