"Fap3","Annee","Part"
"U1Z","1986-1988",35.4573545008177
"V0Z","1986-1988",94.0917288551945
"V1Z","1986-1988",88.5497901259379
"V2Z","1986-1988",34.8346407871692
"V3Z","1986-1988",65.0928171749026
"V4Z","1986-1988",64.9140097051373
"V5Z","1986-1988",50.200964099004
"W0Z","1986-1988",59.5251774558216
"W1Z","1986-1988",42.2048058841631
"X0Z","1986-1988",8.4967675776144
"ZZZ","1986-1988",64.739564093092
"A0Z","1987-1989",34.7033974743376
"A1Z","1987-1989",31.8701863418449
"A2Z","1987-1989",8.5532076884115
"A3Z","1987-1989",9.93822818201802
"B0Z","1987-1989",0.879118197848417
"B1Z","1987-1989",0.649037423145042
"B2Z","1987-1989",1.07221897934183
"B3Z","1987-1989",2.64390171589709
"B4Z","1987-1989",1.13758484326365
"B5Z","1987-1989",0.640461526747938
"B6Z","1987-1989",5.53835432183636
"B7Z","1987-1989",6.21360193296049
"C0Z","1987-1989",52.5414539608204
"C1Z","1987-1989",33.7079118517123
"C2Z","1987-1989",7.27776729598305
"D0Z","1987-1989",18.6076789095231
"D1Z","1987-1989",2.69474377785136
"D2Z","1987-1989",2.43756794724517
"D3Z","1987-1989",16.790335471465
"D4Z","1987-1989",8.28382430627246
"D6Z","1987-1989",2.95554031259164
"E0Z","1987-1989",36.783292522864
"E1Z","1987-1989",20.2011746013392
"E2Z","1987-1989",13.4719605805651
"F0Z","1987-1989",79.2556517271867
"F1Z","1987-1989",60.8731219236341
"F2Z","1987-1989",16.7174971701067
"F3Z","1987-1989",2.84879342108256
"F4Z","1987-1989",27.9447871312161
"F5Z","1987-1989",20.9140603439926
"G0A","1987-1989",2.75240568115792
"G0B","1987-1989",2.36110270492972
"G1Z","1987-1989",3.62708707589699
"H0Z","1987-1989",5.95360321265698
"J0Z","1987-1989",34.8768331958024
"J1Z","1987-1989",7.10189341007636
"J3Z","1987-1989",5.38440924366723
"J4Z","1987-1989",9.30796825461628
"J5Z","1987-1989",45.3261932135133
"J6Z","1987-1989",9.31309968199841
"K0Z","1987-1989",40.5226307293935
"L0Z","1987-1989",96.7749755076709
"L1Z","1987-1989",85.5134549327543
"L2Z","1987-1989",79.6989064565233
"L3Z","1987-1989",98.1789070258455
"L4Z","1987-1989",55.0257803122975
"L5Z","1987-1989",25.6650307152677
"L6Z","1987-1989",18.325499685339
"M0Z","1987-1989",83.5509846259575
"M1Z","1987-1989",19.7541739687481
"M2Z","1987-1989",13.6869726448252
"N0Z","1987-1989",12.6257751401923
"P0Z","1987-1989",77.222151229593
"P1Z","1987-1989",61.919213327746
"P2Z","1987-1989",25.8932020763885
"P3Z","1987-1989",26.603483763377
"P4Z","1987-1989",4.17068681784926
"Q0Z","1987-1989",72.2141759799103
"Q1Z","1987-1989",47.2788359584379
"Q2Z","1987-1989",20.5929870532088
"R0Z","1987-1989",82.1545334473607
"R1Z","1987-1989",79.518949151824
"R2Z","1987-1989",22.9595136708025
"R3Z","1987-1989",47.9535081305435
"R4Z","1987-1989",11.9725924581532
"S0Z","1987-1989",10.7678015298609
"S1Z","1987-1989",26.0927204168748
"S2Z","1987-1989",51.8384011557318
"S3Z","1987-1989",53.486016205221
"T0Z","1987-1989",84.8463425616408
"T1Z","1987-1989",97.9416259704331
"T2A","1987-1989",NA
"T2B","1987-1989",NA
"T3Z","1987-1989",30.7624948788606
"T4Z","1987-1989",74.5468064366931
"T6Z","1987-1989",40.2289027068339
"U0Z","1987-1989",48.9185635853305
"U1Z","1987-1989",37.8281860394118
"V0Z","1987-1989",94.1437002206698
"V1Z","1987-1989",88.7349177544257
"V2Z","1987-1989",35.3530200937375
"V3Z","1987-1989",67.0211147923676
"V4Z","1987-1989",65.5104687214399
"V5Z","1987-1989",51.2746342276973
"W0Z","1987-1989",59.7583585128753
"W1Z","1987-1989",42.7356224443788
"X0Z","1987-1989",10.3801392217155
"ZZZ","1987-1989",61.3117288268375
"A0Z","1988-1990",34.4641036890779
"A1Z","1988-1990",30.6572117076133
"A2Z","1988-1990",8.04240323482444
"A3Z","1988-1990",10.0272461634754
"B0Z","1988-1990",0.706716316859926
"B1Z","1988-1990",0.529619841187692
"B2Z","1988-1990",0.882147073160997
"B3Z","1988-1990",2.11486007820246
"B4Z","1988-1990",1.08876273923744
"B5Z","1988-1990",0.683372105542177
"B6Z","1988-1990",5.18962310247097
"B7Z","1988-1990",7.33113377960627
"C0Z","1988-1990",52.3238927532524
"C1Z","1988-1990",31.8505693245946
"C2Z","1988-1990",8.08168066112175
"D0Z","1988-1990",17.9611171892128
"D1Z","1988-1990",3.42040875683567
"D2Z","1988-1990",2.1699120594105
"D3Z","1988-1990",19.0496926162481
"D4Z","1988-1990",9.53599030978092
"D6Z","1988-1990",4.06911812818725
"E0Z","1988-1990",36.5588221239494
"E1Z","1988-1990",22.7280077173477
"E2Z","1988-1990",13.634375707149
"F0Z","1988-1990",79.0388444991504
"F1Z","1988-1990",64.5349872783695
"F2Z","1988-1990",18.3362502231929
"F3Z","1988-1990",3.64560247503997
"F4Z","1988-1990",28.9423817101878
"F5Z","1988-1990",20.0706476586541
"G0A","1988-1990",2.86044853052806
"G0B","1988-1990",1.76831494619884
"G1Z","1988-1990",3.96446253014296
"H0Z","1988-1990",6.11066782934358
"J0Z","1988-1990",34.7308751795576
"J1Z","1988-1990",8.06590168906304
"J3Z","1988-1990",5.04096803315151
"J4Z","1988-1990",9.83551605413027
"J5Z","1988-1990",47.0635835422972
"J6Z","1988-1990",8.45460453882452
"K0Z","1988-1990",40.8849955680373
"L0Z","1988-1990",97.0855775204711
"L1Z","1988-1990",85.2915970014048
"L2Z","1988-1990",80.4150146829862
"L3Z","1988-1990",98.5206574209047
"L4Z","1988-1990",57.3464907986571
"L5Z","1988-1990",27.4538434845282
"L6Z","1988-1990",16.4429087646216
"M0Z","1988-1990",83.9461361459847
"M1Z","1988-1990",19.8674454407304
"M2Z","1988-1990",14.7796238791215
"N0Z","1988-1990",13.3370077991639
"P0Z","1988-1990",77.350250555289
"P1Z","1988-1990",60.3529701233962
"P2Z","1988-1990",26.52590353931
"P3Z","1988-1990",26.4481008488763
"P4Z","1988-1990",4.40690418094437
"Q0Z","1988-1990",73.060182009367
"Q1Z","1988-1990",45.8310898698856
"Q2Z","1988-1990",21.9205349277183
"R0Z","1988-1990",82.0566202966921
"R1Z","1988-1990",80.3442930941415
"R2Z","1988-1990",25.3015321262082
"R3Z","1988-1990",46.7068073256647
"R4Z","1988-1990",12.5295144379453
"S0Z","1988-1990",10.2230986288851
"S1Z","1988-1990",30.0524803421024
"S2Z","1988-1990",52.2344550162373
"S3Z","1988-1990",52.910168725181
"T0Z","1988-1990",83.5692722316599
"T1Z","1988-1990",98.1185401299787
"T2A","1988-1990",NA
"T2B","1988-1990",NA
"T3Z","1988-1990",30.3693095494788
"T4Z","1988-1990",75.136770134146
"T6Z","1988-1990",41.7182162106979
"U0Z","1988-1990",50.13107105604
"U1Z","1988-1990",38.8936122193413
"V0Z","1988-1990",93.9839830996275
"V1Z","1988-1990",88.7953695401367
"V2Z","1988-1990",35.5334691808239
"V3Z","1988-1990",65.8621493740348
"V4Z","1988-1990",66.551621037105
"V5Z","1988-1990",50.1064552736778
"W0Z","1988-1990",59.8707530387803
"W1Z","1988-1990",45.3636692187585
"X0Z","1988-1990",8.22602017476343
"ZZZ","1988-1990",64.8675413566215
"A0Z","1989-1991",34.8813900833955
"A1Z","1989-1991",29.4427036675948
"A2Z","1989-1991",11.3248921047064
"A3Z","1989-1991",12.2317977137409
"B0Z","1989-1991",0.512671046906819
"B1Z","1989-1991",0.382772423447958
"B2Z","1989-1991",0.570466811185414
"B3Z","1989-1991",1.83440847186034
"B4Z","1989-1991",0.915642382050509
"B5Z","1989-1991",0.659132182270762
"B6Z","1989-1991",4.83967340533248
"B7Z","1989-1991",8.69795689185
"C0Z","1989-1991",53.7846018449153
"C1Z","1989-1991",31.6743108888492
"C2Z","1989-1991",8.24573016939967
"D0Z","1989-1991",17.7363542093209
"D1Z","1989-1991",4.29880210316498
"D2Z","1989-1991",1.97680572603061
"D3Z","1989-1991",21.7194339311899
"D4Z","1989-1991",10.5448303081321
"D6Z","1989-1991",4.88906291003501
"E0Z","1989-1991",37.2833229002655
"E1Z","1989-1991",22.9512355262113
"E2Z","1989-1991",13.520923652635
"F0Z","1989-1991",78.4483863438016
"F1Z","1989-1991",67.1073216163686
"F2Z","1989-1991",20.377609606511
"F3Z","1989-1991",5.39458058436983
"F4Z","1989-1991",28.4200601480692
"F5Z","1989-1991",20.2774178033507
"G0A","1989-1991",3.54667481511217
"G0B","1989-1991",1.56664390072338
"G1Z","1989-1991",4.75812898799584
"H0Z","1989-1991",6.00325181130351
"J0Z","1989-1991",35.0205491490968
"J1Z","1989-1991",9.41238948734196
"J3Z","1989-1991",5.22846845117291
"J4Z","1989-1991",11.1397078597645
"J5Z","1989-1991",51.8735963635244
"J6Z","1989-1991",7.13966429624881
"K0Z","1989-1991",40.427336599444
"L0Z","1989-1991",97.5171938742339
"L1Z","1989-1991",85.3501247793166
"L2Z","1989-1991",81.4956892071166
"L3Z","1989-1991",98.9305806405842
"L4Z","1989-1991",57.3901452069
"L5Z","1989-1991",30.9249924876811
"L6Z","1989-1991",15.7750715202923
"M0Z","1989-1991",82.8158157819555
"M1Z","1989-1991",20.7246029084802
"M2Z","1989-1991",15.7000051848713
"N0Z","1989-1991",14.5028783980909
"P0Z","1989-1991",76.7993728880113
"P1Z","1989-1991",60.5594910278664
"P2Z","1989-1991",26.4374259807127
"P3Z","1989-1991",31.1066002647066
"P4Z","1989-1991",4.5318295715936
"Q0Z","1989-1991",72.9827506428482
"Q1Z","1989-1991",46.2430281803851
"Q2Z","1989-1991",23.47651747665
"R0Z","1989-1991",82.1914947273089
"R1Z","1989-1991",81.610162696928
"R2Z","1989-1991",26.4136113387553
"R3Z","1989-1991",47.1446309156661
"R4Z","1989-1991",13.6020766746259
"S0Z","1989-1991",9.14936281833924
"S1Z","1989-1991",32.6746991810564
"S2Z","1989-1991",52.6110038895086
"S3Z","1989-1991",52.0081971881943
"T0Z","1989-1991",83.4781859638471
"T1Z","1989-1991",98.1140370415051
"T2A","1989-1991",NA
"T2B","1989-1991",NA
"T3Z","1989-1991",29.757349315428
"T4Z","1989-1991",75.894411398527
"T6Z","1989-1991",42.1920766276639
"U0Z","1989-1991",52.4179347161913
"U1Z","1989-1991",38.8941616351053
"V0Z","1989-1991",94.0279240222835
"V1Z","1989-1991",88.3783368334348
"V2Z","1989-1991",35.8888171146176
"V3Z","1989-1991",63.6011193389146
"V4Z","1989-1991",67.5887805929223
"V5Z","1989-1991",50.4333282638608
"W0Z","1989-1991",60.3336073837726
"W1Z","1989-1991",44.0564471096062
"X0Z","1989-1991",6.78883693881968
"ZZZ","1989-1991",64.766608396844
