"Fap","stat_sl","annee","effectif","pourcentage","part"
"V0Z","int","1985-1987",0.26004,0.000870442715721021,0.0870442715721021
"V1Z","int","1985-1987",1.53516,0.0040224355669708,0.40224355669708
"V2Z","int","1985-1987",0,0,0
"V3Z","int","1985-1987",0.36222,0.00159085048838214,0.159085048838214
"V4Z","int","1985-1987",0.40506,0.00314678314720732,0.314678314720732
"V5Z","int","1985-1987",0.18732,0.00073939164235612,0.073939164235612
"W0Z","int","1985-1987",0.06132,6.68747038515031e-05,0.00668747038515031
"W1Z","int","1985-1987",0,0,0
"X0Z","int","1985-1987",0.07579,0.00284154603499537,0.284154603499537
"ZZZ","int","1985-1987",0.14759,0.0111774956623683,1.11774956623683
"SAL","int","1985-1987",251.19602,0.00669264130436633,0.669264130436633
"A0Z","int","1986-1988",0.75866,0.000540507933399842,0.0540507933399842
"A1Z","int","1986-1988",0.32535,0.000931594692541682,0.0931594692541682
"A2Z","int","1986-1988",0,0,0
"A3Z","int","1986-1988",0,0,0
"B0Z","int","1986-1988",6.56496,0.0221887524342714,2.21887524342714
"B1Z","int","1986-1988",1.52543,0.013097126064185,1.3097126064185
"B2Z","int","1986-1988",4.36165,0.0129367308986461,1.29367308986461
"B3Z","int","1986-1988",2.83391,0.0184248921566696,1.84248921566696
"B4Z","int","1986-1988",4.04793,0.00794428650889632,0.794428650889632
"B5Z","int","1986-1988",1.41633,0.0191071331246428,1.91071331246428
"B6Z","int","1986-1988",0.99999,0.00445274206383185,0.445274206383185
"B7Z","int","1986-1988",0,0,0
"C0Z","int","1986-1988",3.39743,0.0440844690102829,4.4084469010283
"C1Z","int","1986-1988",1.42005,0.0181824537304856,1.81824537304856
"C2Z","int","1986-1988",2.8175,0.0170862847982581,1.70862847982581
"D0Z","int","1986-1988",3.11804,0.0487941520379982,4.87941520379982
"D1Z","int","1986-1988",1.15843,0.0090165498128515,0.90165498128515
"D2Z","int","1986-1988",5.43052,0.0290900200626924,2.90900200626924
"D3Z","int","1986-1988",9.95993,0.0309082582760624,3.09082582760624
"D4Z","int","1986-1988",1.794,0.012668827664539,1.2668827664539
"D6Z","int","1986-1988",2.14744,0.00837475132435915,0.837475132435915
"E0Z","int","1986-1988",9.50201,0.0309631363101926,3.09631363101926
"E1Z","int","1986-1988",2.05684,0.00793942255025443,0.793942255025443
"E2Z","int","1986-1988",1.73667,0.00829284451294968,0.829284451294968
"ENS","int","1986-1988",141.53412,0.00628789018843643,0.628789018843643
"F0Z","int","1986-1988",1.84546,0.00779416834062255,0.779416834062255
"F1Z","int","1986-1988",0.62854,0.00464445779276751,0.464445779276751
"F2Z","int","1986-1988",0.61351,0.0124544081694714,1.24544081694714
"F3Z","int","1986-1988",0.4552,0.00623907271370606,0.623907271370606
"F4Z","int","1986-1988",0.86391,0.00789949190185724,0.789949190185724
"F5Z","int","1986-1988",0.17482,0.00554355857012846,0.554355857012846
"G0A","int","1986-1988",2.82565,0.0126586276365888,1.26586276365888
"G0B","int","1986-1988",0.59371,0.0027003164915925,0.27003164915925
"G1Z","int","1986-1988",1.52192,0.00603525224655436,0.603525224655436
"H0Z","int","1986-1988",0.2511,0.0025085666903104,0.25085666903104
"J0Z","int","1986-1988",18.48337,0.0417502818872548,4.17502818872548
"J1Z","int","1986-1988",3.62246,0.0108313264136465,1.08313264136465
"J3Z","int","1986-1988",3.00376,0.00468041157629941,0.468041157629941
"J4Z","int","1986-1988",0,0,0
"J5Z","int","1986-1988",0.41451,0.00287892812278204,0.287892812278204
"J6Z","int","1986-1988",0,0,0
"K0Z","int","1986-1988",0.78564,0.00504015463043517,0.504015463043517
"L0Z","int","1986-1988",8.42264,0.0154864348532231,1.54864348532231
"L1Z","int","1986-1988",4.3683,0.0131173861775547,1.31173861775547
"L2Z","int","1986-1988",1.65458,0.00783685986027524,0.783685986027524
"L3Z","int","1986-1988",2.50235,0.0139531781892256,1.39531781892256
"L4Z","int","1986-1988",0.39279,0.00265577033871197,0.265577033871197
"L5Z","int","1986-1988",0.22456,0.000785843506558588,0.0785843506558588
"L6Z","int","1986-1988",NA,NA,NA
"M0Z","int","1986-1988",0.98834,0.0304330006869703,3.04330006869703
"M1Z","int","1986-1988",0.57834,0.00391879633852671,0.391879633852671
"M2Z","int","1986-1988",0.17943,0.00286918832656266,0.286918832656266
"N0Z","int","1986-1988",0.36288,0.00236881390691165,0.236881390691165
"P0Z","int","1986-1988",0.38115,0.00044693950915594,0.044693950915594
