"Fap","sumeffsal","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"A3Z00",0,"Marins, pêcheurs, aquaculteurs indépendants","A","Agriculture, marine, pêche","A3Z","Marins, pêcheurs, aquaculteurs"
"F",216.41602,"Matériaux souples, bois, industries graphiques","F","Matériaux souples, bois, industries graphiques",NA,NA
"B2Z40",166.53541,"Maçons","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"S2Z80",50.57552,"Maîtres d'hôtel","S","Hôtellerie, restauration, alimentation","S2Z","Employés et agents de maîtrise de l'hôtellerie et de la restauration"
"S2Z81",21.11777,"Maîtrise de l'hôtellerie","S","Hôtellerie, restauration, alimentation","S2Z","Employés et agents de maîtrise de l'hôtellerie et de la restauration"
"R3Z80",195.36365,"Maîtrise des magasins","R","Commerce","R3Z","Maîtrise des magasins et intermédiaires du commerce"
"R3Z",293.95583,"Maîtrise des magasins et intermédiaires du commerce","R","Commerce","R3Z","Maîtrise des magasins et intermédiaires du commerce"
"B4Z42",47.80656,"Menuisiers et ouvriers de l'agencement et de l'isolation","B","Bâtiment, travaux publics","B4Z","Ouvriers qualifiés du second œuvre du bâtiment"
"D4Z40",102.44581,"Monteurs, ajusteurs et autres ouvriers qualifiés de la mécanique","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"G0B41",82.19202,"Mécaniciens et électroniciens de véhicules","G","Maintenance","G0B","Ouvriers qualifiés de la réparation automobile"
"D",776.63058,"Mécanique, travail des métaux","D","Mécanique, travail des métaux",NA,NA
"V2Z90",152.71092,"Médecins","V","Santé, action sociale, culturelle et sportive","V2Z","Médecins et assimilés"
"V2Z",208.61855,"Médecins et assimilés","V","Santé, action sociale, culturelle et sportive","V2Z","Médecins et assimilés"
"ZZZ",80.5194,"Non renseigné ou autre","Z","Non renseigné ou autre","ZZZ","Non renseigné ou autre"
"Z",80.5194,"Non renseigné ou autre","Z","Non renseigné ou autre",NA,NA
"ZZZZZ",80.5194,"Non renseigné ou autre","Z","Non renseigné ou autre","ZZZ","Non renseigné ou autre"
"T4Z62",59.54811,"Ouvriers de l'assainissement et du traitement des déchets","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"F4Z",41.49476,"Ouvriers des industries graphiques","F","Matériaux souples, bois, industries graphiques","F4Z","Ouvriers des industries graphiques"
"J0Z20",373.21985,"Ouvriers non qualifiés de l'emballage et manutentionnaires","J","Transports, logistique et tourisme","J0Z","Ouvriers non qualifiés de la manutention"
"F4Z20",6.74164,"Ouvriers non qualifiés de l'imprimerie, de la presse et de l'édition","F","Matériaux souples, bois, industries graphiques","F4Z","Ouvriers des industries graphiques"
"C0Z",27.64904,"Ouvriers non qualifiés de l'électricité et de l'électronique","C","Électricité, électronique","C0Z","Ouvriers non qualifiés de l'électricité et de l'électronique"
"C0Z20",27.64904,"Ouvriers non qualifiés de l'électricité et de l'électronique","C","Électricité, électronique","C0Z","Ouvriers non qualifiés de l'électricité et de l'électronique"
"J0Z",373.21985,"Ouvriers non qualifiés de la manutention","J","Transports, logistique et tourisme","J0Z","Ouvriers non qualifiés de la manutention"
"D3Z",138.95493,"Ouvriers non qualifiés de la mécanique","D","Mécanique, travail des métaux","D3Z","Ouvriers non qualifiés de la mécanique"
"E0Z21",96.37036,"Ouvriers non qualifiés des industries agro-alimentaires","E","Industries de process","E0Z","Ouvriers non qualifiés des industries de process"
"E0Z20",45.49803,"Ouvriers non qualifiés des industries chimiques et plastiques","E","Industries de process","E0Z","Ouvriers non qualifiés des industries de process"
"E0Z",188.79669,"Ouvriers non qualifiés des industries de process","E","Industries de process","E0Z","Ouvriers non qualifiés des industries de process"
"B0Z20",90.32717,"Ouvriers non qualifiés des travaux publics, du béton et de l'extraction","B","Bâtiment, travaux publics","B0Z","Ouvriers non qualifiés du gros œuvre du bâtiment, des travaux publics, du béton et de l'extraction"
"K0Z20",44.00736,"Ouvriers non qualifiés divers de type artisanal","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"B0Z21",76.46785,"Ouvriers non qualifiés du gros œuvre du bâtiment","B","Bâtiment, travaux publics","B0Z","Ouvriers non qualifiés du gros œuvre du bâtiment, des travaux publics, du béton et de l'extraction"
