"Fap","annee","effectif","age","pourcentage"
"B2Z40","2003-2005",20.03826,"15-24 ans",0.0736814481029627
"B2Z40","2003-2005",28.65663,"25-29 ans",0.105371524081971
"B2Z40","2003-2005",32.43049,"30-34 ans",0.119248151580459
"B2Z40","2003-2005",33.51005,"35-39 ans",0.123217734973131
"B2Z40","2003-2005",40.18792,"40-44 ans",0.14777251826486
"B2Z40","2003-2005",50.14122,"45-49 ans",0.184371182889594
"B2Z40","2003-2005",40.98394,"50-54 ans",0.15069951423751
"B2Z40","2003-2005",23.79409,"55-59 ans",0.0874917786021452
"B2Z40","2003-2005",2.21541,"60 ans ou plus",0.00814614726736675
"B2Z41","2003-2005",1.23098,"15-24 ans",0.0771664471576772
"B2Z41","2003-2005",0.2128,"25-29 ans",0.013339794273793
"B2Z41","2003-2005",0.43997,"30-34 ans",0.027580400783086
"B2Z41","2003-2005",3.81251,"35-39 ans",0.238994826441629
"B2Z41","2003-2005",3.27025,"40-44 ans",0.20500217210466
"B2Z41","2003-2005",2.03314,"45-49 ans",0.127451453617573
"B2Z41","2003-2005",1.64237,"50-54 ans",0.10295525339027
"B2Z41","2003-2005",2.14489,"55-59 ans",0.134456726221409
"B2Z41","2003-2005",1.16536,"60 ans ou plus",0.0730529260099033
"B2Z42","2003-2005",1.02072,"15-24 ans",0.0763165410824221
"B2Z42","2003-2005",1.2974,"25-29 ans",0.0970031746221632
"B2Z42","2003-2005",1.60525,"30-34 ans",0.120020306815344
"B2Z42","2003-2005",1.90748,"35-39 ans",0.142617246437709
"B2Z42","2003-2005",2.34833,"40-44 ans",0.175578437691124
"B2Z42","2003-2005",1.93088,"45-49 ans",0.144366802693419
"B2Z42","2003-2005",2.10461,"50-54 ans",0.157356136381648
"B2Z42","2003-2005",1.16015,"55-59 ans",0.0867413542761697
"B2Z42","2003-2005",0,"60 ans ou plus",0
"B2Z43","2003-2005",2.77254,"15-24 ans",0.144411097696019
"B2Z43","2003-2005",5.18741,"25-29 ans",0.270192521045433
"B2Z43","2003-2005",2.17117,"30-34 ans",0.113088014234119
"B2Z43","2003-2005",2.75982,"35-39 ans",0.143748561118478
"B2Z43","2003-2005",2.22067,"40-44 ans",0.115666281575962
"B2Z43","2003-2005",2.17735,"45-49 ans",0.113409907005283
"B2Z43","2003-2005",1.7241,"50-54 ans",0.0898018328095197
"B2Z43","2003-2005",0.18588,"55-59 ans",0.00968178451518678
"B2Z43","2003-2005",0,"60 ans ou plus",0
"B2Z44","2003-2005",5.569,"15-24 ans",0.11429791137961
"B2Z44","2003-2005",5.47339,"25-29 ans",0.112335615939315
"B2Z44","2003-2005",5.72466,"30-34 ans",0.117492670382187
"B2Z44","2003-2005",8.72797,"35-39 ans",0.179132472900681
"B2Z44","2003-2005",10.5063,"40-44 ans",0.215630839706877
"B2Z44","2003-2005",5.33992,"45-49 ans",0.109596283522034
"B2Z44","2003-2005",3.67178,"50-54 ans",0.075359451435702
"B2Z44","2003-2005",3.64229,"55-59 ans",0.0747541999710612
"B2Z44","2003-2005",0.06824,"60 ans ou plus",0.0014005547625327
"B3Z20","2003-2005",60.22598,"15-24 ans",0.397794973631031
"B3Z20","2003-2005",16.27027,"25-29 ans",0.107465775162476
"B3Z20","2003-2005",13.74718,"30-34 ans",0.0908006661842786
"B3Z20","2003-2005",12.28403,"35-39 ans",0.0811365027174784
"B3Z20","2003-2005",14.29204,"40-44 ans",0.0943994879773421
"B3Z20","2003-2005",16.48819,"45-49 ans",0.108905145358754
"B3Z20","2003-2005",10.22573,"50-54 ans",0.0675413500238277
"B3Z20","2003-2005",6.6766,"55-59 ans",0.0440992063714852
"B3Z20","2003-2005",1.18953,"60 ans ou plus",0.00785689257332667
"B4Z41","2003-2005",12.82684,"15-24 ans",0.111297510712096
"B4Z41","2003-2005",9.65028,"25-29 ans",0.0837347422806183
"B4Z41","2003-2005",11.54732,"30-34 ans",0.100195213427157
"B4Z41","2003-2005",18.84841,"35-39 ans",0.163546213555402
"B4Z41","2003-2005",14.52874,"40-44 ans",0.126064766987291
"B4Z41","2003-2005",15.90289,"45-49 ans",0.137988161552517
"B4Z41","2003-2005",18.60404,"50-54 ans",0.16142583373522
"B4Z41","2003-2005",12.10019,"55-59 ans",0.104992424178005
"B4Z41","2003-2005",1.23951,"60 ans ou plus",0.0107551335716942
"B4Z42","2003-2005",9.02686,"15-24 ans",0.0732491640564096
"B4Z42","2003-2005",13.62458,"25-29 ans",0.110557723906173
"B4Z42","2003-2005",20.0453,"30-34 ans",0.162659160356973
"B4Z42","2003-2005",20.72411,"35-39 ans",0.168167417386896
"B4Z42","2003-2005",16.08192,"40-44 ans",0.130498002231347
"B4Z42","2003-2005",17.34966,"45-49 ans",0.140785177975833
"B4Z42","2003-2005",14.52684,"50-54 ans",0.117879183501374
"B4Z42","2003-2005",10.35108,"55-59 ans",0.0839946511944376
"B4Z42","2003-2005",1.50464,"60 ans ou plus",0.0122095193905562
"B4Z43","2003-2005",12.38947,"15-24 ans",0.0974714708704394
"B4Z43","2003-2005",12.09989,"25-29 ans",0.0951932629620574
"B4Z43","2003-2005",21.41723,"30-34 ans",0.168495416678074
"B4Z43","2003-2005",21.66166,"35-39 ans",0.170418416743845
"B4Z43","2003-2005",14.74718,"40-44 ans",0.116020243464097
"B4Z43","2003-2005",20.75066,"45-49 ans",0.163251321624928
"B4Z43","2003-2005",12.70967,"50-54 ans",0.0999905749945637
"B4Z43","2003-2005",10.06896,"55-59 ans",0.0792153612168736
"B4Z43","2003-2005",1.26396,"60 ans ou plus",0.00994393144512239
"B4Z44","2003-2005",8.48496,"15-24 ans",0.0529929709192441
"B4Z44","2003-2005",9.80636,"25-29 ans",0.061245798483863
"B4Z44","2003-2005",21.78168,"30-34 ans",0.136037875819365
"B4Z44","2003-2005",25.58405,"35-39 ans",0.159785646325556
"B4Z44","2003-2005",26.38458,"40-44 ans",0.164785370898209
"B4Z44","2003-2005",24.63469,"45-49 ans",0.153856401300017
"B4Z44","2003-2005",24.7133,"50-54 ans",0.154347361474722
"B4Z44","2003-2005",15.39144,"55-59 ans",0.0961275164909782
"B4Z44","2003-2005",3.33376,"60 ans ou plus",0.020821058288046
"B5Z40","2003-2005",5.36986,"15-24 ans",0.0743439631820267
"B5Z40","2003-2005",6.67374,"25-29 ans",0.0923957572164673
"B5Z40","2003-2005",12.31955,"30-34 ans",0.170560158294469
"B5Z40","2003-2005",11.37825,"35-39 ans",0.157528166297798
"B5Z40","2003-2005",12.03642,"40-44 ans",0.166640315636424
"B5Z40","2003-2005",9.2503,"45-49 ans",0.1280673914446
"B5Z40","2003-2005",7.64888,"50-54 ans",0.105896252994257
"B5Z40","2003-2005",6.92092,"55-59 ans",0.0958178838304448
"B5Z40","2003-2005",0.63202,"60 ans ou plus",0.00875011110351192
"B6Z70","2003-2005",2.18934,"15-24 ans",0.168761013241327
"B6Z70","2003-2005",3.17035,"25-29 ans",0.244380259954891
"B6Z70","2003-2005",1.3974,"30-34 ans",0.107715859530009
"B6Z70","2003-2005",0.74645,"35-39 ans",0.0575386455890764
"B6Z70","2003-2005",1.07175,"40-44 ans",0.082613763025109
"B6Z70","2003-2005",1.98709,"45-49 ans",0.153170965588583
"B6Z70","2003-2005",1.91694,"50-54 ans",0.147763589356989
"B6Z70","2003-2005",0.4937,"55-59 ans",0.0380559037140157
"B6Z70","2003-2005",0,"60 ans ou plus",0
"B6Z71","2003-2005",9.0772,"15-24 ans",0.0702001212331006
"B6Z71","2003-2005",16.24238,"25-29 ans",0.125613299818676
"B6Z71","2003-2005",17.72877,"30-34 ans",0.137108558070083
"B6Z71","2003-2005",17.44617,"35-39 ans",0.134923021312
"B6Z71","2003-2005",19.047,"40-44 ans",0.147303321412646
"B6Z71","2003-2005",17.86622,"45-49 ans",0.138171551797608
"B6Z71","2003-2005",18.10921,"50-54 ans",0.140050757660476
"B6Z71","2003-2005",11.45104,"55-59 ans",0.0885586300010007
"B6Z71","2003-2005",2.33663,"60 ans ou plus",0.0180707386944101
"B6Z72","2003-2005",1.40068,"15-24 ans",0.0749981661141807
"B6Z72","2003-2005",3.23311,"25-29 ans",0.173114002374146
"B6Z72","2003-2005",3.16599,"30-34 ans",0.169520121609386
"B6Z72","2003-2005",2.70046,"35-39 ans",0.144593731376689
"B6Z72","2003-2005",3.10332,"40-44 ans",0.16616451214086
"B6Z72","2003-2005",2.88712,"45-49 ans",0.154588275231726
"B6Z72","2003-2005",1.50236,"50-54 ans",0.0804425313728335
"B6Z72","2003-2005",0.63209,"55-59 ans",0.0338446974463207
"B6Z72","2003-2005",0.05106,"60 ans ou plus",0.00273396233385932
"B6Z73","2003-2005",4.96041,"15-24 ans",0.0551367779263038
"B6Z73","2003-2005",9.66222,"25-29 ans",0.107399121930464
"B6Z73","2003-2005",8.53757,"30-34 ans",0.0948982243645734
"B6Z73","2003-2005",11.06609,"35-39 ans",0.123003652287309
"B6Z73","2003-2005",15.39812,"40-44 ans",0.17115575585941
"B6Z73","2003-2005",16.66446,"45-49 ans",0.185231589784266
"B6Z73","2003-2005",15.25243,"50-54 ans",0.169536358032198
"B6Z73","2003-2005",7.80083,"55-59 ans",0.0867090888355697
"B6Z73","2003-2005",0.62341,"60 ans ou plus",0.00692943097990631
"B7Z90","2003-2005",0.00581,"15-24 ans",0.000153353384530312
"B7Z90","2003-2005",3.87485,"25-29 ans",0.102275621694885
"B7Z90","2003-2005",4.38888,"30-34 ans",0.115843305042581
"B7Z90","2003-2005",3.30878,"35-39 ans",0.0873343565690546
"B7Z90","2003-2005",6.63035,"40-44 ans",0.17500630174192
"B7Z90","2003-2005",5.93016,"45-49 ans",0.15652497535392
"B7Z90","2003-2005",6.04952,"50-54 ans",0.159675450393084
"B7Z90","2003-2005",5.37309,"55-59 ans",0.141821262803094
"B7Z90","2003-2005",2.32491,"60 ans ou plus",0.0613653730169309
"B7Z91","2003-2005",1.90432,"15-24 ans",0.0297810770555968
"B7Z91","2003-2005",8.43302,"25-29 ans",0.13188141616503
"B7Z91","2003-2005",8.23791,"30-34 ans",0.128830150650663
"B7Z91","2003-2005",9.49769,"35-39 ans",0.148531464113264
"B7Z91","2003-2005",8.3627,"40-44 ans",0.13078170322889
"B7Z91","2003-2005",9.72177,"45-49 ans",0.152035782582123
"B7Z91","2003-2005",10.34751,"50-54 ans",0.161821538734855
"B7Z91","2003-2005",6.49336,"55-59 ans",0.101547667676509
"B7Z91","2003-2005",0.94568,"60 ans ou plus",0.0147891997930688
"C0Z20","2003-2005",10.65532,"15-24 ans",0.244465618337193
"C0Z20","2003-2005",5.70109,"25-29 ans",0.13080043509214
"C0Z20","2003-2005",4.57625,"30-34 ans",0.104993166410354
"C0Z20","2003-2005",5.53803,"35-39 ans",0.127059340153081
"C0Z20","2003-2005",6.06868,"40-44 ans",0.13923407356049
"C0Z20","2003-2005",3.56855,"45-49 ans",0.0818734474719848
"C0Z20","2003-2005",5.09675,"50-54 ans",0.11693502778519
"C0Z20","2003-2005",2.3815,"55-59 ans",0.0546388911895677
"C0Z20","2003-2005",0,"60 ans ou plus",0
"C1Z40","2003-2005",7.5531,"15-24 ans",0.113539884095547
"C1Z40","2003-2005",9.89824,"25-29 ans",0.148792551713854
"C1Z40","2003-2005",5.92369,"30-34 ans",0.0890462294975509
"C1Z40","2003-2005",9.76882,"35-39 ans",0.146847081403697
"C1Z40","2003-2005",9.03436,"40-44 ans",0.135806514845222
"C1Z40","2003-2005",9.57733,"45-49 ans",0.143968561007375
"C1Z40","2003-2005",10.62183,"50-54 ans",0.159669718007521
"C1Z40","2003-2005",4.14639,"55-59 ans",0.0623294594292325
"C1Z40","2003-2005",0,"60 ans ou plus",0
"C2Z70","2003-2005",8.75477,"15-24 ans",0.0755136160535039
"C2Z70","2003-2005",17.7772,"25-29 ans",0.153335913485603
"C2Z70","2003-2005",16.64694,"30-34 ans",0.143586940105304
"C2Z70","2003-2005",19.47234,"35-39 ans",0.167957217199685
"C2Z70","2003-2005",17.38529,"40-44 ans",0.149955522993616
"C2Z70","2003-2005",18.52927,"45-49 ans",0.159822837211224
"C2Z70","2003-2005",11.39237,"50-54 ans",0.0982640382465166
"C2Z70","2003-2005",5.252,"55-59 ans",0.0453007345153559
"C2Z70","2003-2005",0.72613,"60 ans ou plus",0.00626318018919181
"C2Z71","2003-2005",0.63908,"15-24 ans",0.063711894787843
"C2Z71","2003-2005",2.67834,"25-29 ans",0.267012136643412
"C2Z71","2003-2005",0.90574,"30-34 ans",0.0902960687005397
"C2Z71","2003-2005",1.31628,"35-39 ans",0.131224092244073
"C2Z71","2003-2005",1.82509,"40-44 ans",0.181948961097741
"C2Z71","2003-2005",0.81632,"45-49 ans",0.0813815077192402
"C2Z71","2003-2005",1.45491,"50-54 ans",0.145044552866278
"C2Z71","2003-2005",0.39502,"55-59 ans",0.039380785940874
"C2Z71","2003-2005",0,"60 ans ou plus",0
"C2Z80","2003-2005",0.18381,"15-24 ans",0.0158958987699077
"C2Z80","2003-2005",2.29576,"25-29 ans",0.198537449322688
"C2Z80","2003-2005",0.71919,"30-34 ans",0.0621955902090742
"C2Z80","2003-2005",2.39837,"35-39 ans",0.207411167688284
"C2Z80","2003-2005",1.10885,"40-44 ans",0.0958934081443456
"C2Z80","2003-2005",2.30337,"45-49 ans",0.199195562535457
"C2Z80","2003-2005",1.87058,"50-54 ans",0.161767859860802
"C2Z80","2003-2005",0.68343,"55-59 ans",0.0591030634694414
"C2Z80","2003-2005",0,"60 ans ou plus",0
"D0Z20","2003-2005",16.10211,"15-24 ans",0.295297246503112
"D0Z20","2003-2005",4.915,"25-29 ans",0.0901363837759644
"D0Z20","2003-2005",9.29773,"30-34 ans",0.170511446495483
"D0Z20","2003-2005",6.44219,"35-39 ans",0.118143582949681
"D0Z20","2003-2005",5.83719,"40-44 ans",0.107048463481836
"D0Z20","2003-2005",4.74068,"45-49 ans",0.0869395222459896
"D0Z20","2003-2005",5.98211,"50-54 ans",0.109706157222794
"D0Z20","2003-2005",1.21147,"55-59 ans",0.0222171973251409
"D0Z20","2003-2005",0,"60 ans ou plus",0
"D1Z40","2003-2005",1.89551,"15-24 ans",0.057071550877717
"D1Z40","2003-2005",6.19833,"25-29 ans",0.1866243417085
"D1Z40","2003-2005",4.69572,"30-34 ans",0.14138254236987
"D1Z40","2003-2005",6.54627,"35-39 ans",0.197100401139679
"D1Z40","2003-2005",5.41778,"40-44 ans",0.16312290988403
"D1Z40","2003-2005",4.27471,"45-49 ans",0.128706432175238
"D1Z40","2003-2005",2.56634,"50-54 ans",0.07726944404383
"D1Z40","2003-2005",1.61821,"55-59 ans",0.0487223778011355
"D1Z40","2003-2005",0,"60 ans ou plus",0
"D1Z41","2003-2005",10.45861,"15-24 ans",0.0974327438396808
"D1Z41","2003-2005",14.86495,"25-29 ans",0.138482347610214
