Fap3;Type_mmo;Annee;Taux;;;
F1Z;Taux d'entrée;2010;15.69;;;
F2Z;Taux d'entrée;2010;15.71;;;
F3Z;Taux d'entrée;2010;10.13;;;
F4Z;Taux d'entrée;2010;23.6;;;
F5Z;Taux d'entrée;2010;10.9;;;
G0A;Taux d'entrée;2010;35.07;;;
G0B;Taux d'entrée;2010;23.09;;;
G1Z;Taux d'entrée;2010;13.39;;;
H0Z;Taux d'entrée;2010;13.04;;;
J0Z;Taux d'entrée;2010;44.53;;;
J1Z;Taux d'entrée;2010;21.7;;;
J3Z;Taux d'entrée;2010;32.93;;;
J4Z;Taux d'entrée;2010;17.91;;;
J5Z;Taux d'entrée;2010;29.44;;;
J6Z;Taux d'entrée;2010;7.77;;;
K0Z;Taux d'entrée;2010;162.32;;;
L0Z;Taux d'entrée;2010;26.91;;;
L1Z;Taux d'entrée;2010;18.97;;;
L2Z;Taux d'entrée;2010;123.62;;;
L3Z;Taux d'entrée;2010;15.22;;;
L4Z;Taux d'entrée;2010;11.94;;;
L5Z;Taux d'entrée;2010;15.66;;;
L6Z;Taux d'entrée;2010;132.89;;;
M0Z;Taux d'entrée;2010;46.5;;;
M1Z;Taux d'entrée;2010;16.2;;;
M2Z;Taux d'entrée;2010;20.03;;;
N0Z;Taux d'entrée;2010;12.9;;;
P0Z;Taux d'entrée;2010;4.58;;;
P1Z;Taux d'entrée;2010;5.69;;;
P2Z;Taux d'entrée;2010;7.55;;;
P3Z;Taux d'entrée;2010;11.66;;;
P4Z;Taux d'entrée;2010;7.11;;;
Q0Z;Taux d'entrée;2010;17.65;;;
Q1Z;Taux d'entrée;2010;13.36;;;
Q2Z;Taux d'entrée;2010;3.97;;;
R0Z;Taux d'entrée;2010;157.36;;;
R1Z;Taux d'entrée;2010;73.23;;;
R2Z;Taux d'entrée;2010;18.68;;;
R3Z;Taux d'entrée;2010;19.52;;;
R4Z;Taux d'entrée;2010;13.89;;;
S0Z;Taux d'entrée;2010;43.22;;;
S1Z;Taux d'entrée;2010;123.28;;;
S2Z;Taux d'entrée;2010;140.24;;;
S3Z;Taux d'entrée;2010;15.79;;;
T0Z;Taux d'entrée;2010;37.88;;;
T1Z;Taux d'entrée;2010;105.47;;;
T2A;Taux d'entrée;2010;65.44;;;
T2B;Taux d'entrée;2010;23.32;;;
T3Z;Taux d'entrée;2010;79.14;;;
T4Z;Taux d'entrée;2010;173.29;;;
T6Z;Taux d'entrée;2010;812.48;;;
U0Z;Taux d'entrée;2010;49.45;;;
U1Z;Taux d'entrée;2010;320.25;;;
V0Z;Taux d'entrée;2010;150.95;;;
V1Z;Taux d'entrée;2010;111.24;;;
V2Z;Taux d'entrée;2010;62.77;;;
V3Z;Taux d'entrée;2010;31.03;;;
V4Z;Taux d'entrée;2010;60.49;;;
V5Z;Taux d'entrée;2010;172.13;;;
W0Z;Taux d'entrée;2010;49.14;;;
W1Z;Taux d'entrée;2010;75.44;;;
X0Z;Taux d'entrée;2010;11.58;;;
ZZZ;Taux d'entrée;2010;253.17;;;
A0Z;Taux d'entrée;2011;107.47;;;
A1Z;Taux d'entrée;2011;116.86;;;
A2Z;Taux d'entrée;2011;14.49;;;
A3Z;Taux d'entrée;2011;107.01;;;
B0Z;Taux d'entrée;2011;26.18;;;
B1Z;Taux d'entrée;2011;31.19;;;
B2Z;Taux d'entrée;2011;20.54;;;
B3Z;Taux d'entrée;2011;49.18;;;
B4Z;Taux d'entrée;2011;25.84;;;
B5Z;Taux d'entrée;2011;17.08;;;
B6Z;Taux d'entrée;2011;14.23;;;
B7Z;Taux d'entrée;2011;14.41;;;
C0Z;Taux d'entrée;2011;28.11;;;
C1Z;Taux d'entrée;2011;22;;;
C2Z;Taux d'entrée;2011;9.08;;;
D0Z;Taux d'entrée;2011;13.87;;;
D1Z;Taux d'entrée;2011;12.67;;;
D2Z;Taux d'entrée;2011;14;;;
D3Z;Taux d'entrée;2011;13.52;;;
D4Z;Taux d'entrée;2011;9.85;;;
D6Z;Taux d'entrée;2011;6.05;;;
E0Z;Taux d'entrée;2011;89.04;;;
E1Z;Taux d'entrée;2011;32.2;;;
E2Z;Taux d'entrée;2011;11.49;;;
Ensemble;Taux d'entrée;2011;55.2;;;
F0Z;Taux d'entrée;2011;29.2;;;
F1Z;Taux d'entrée;2011;15.62;;;
F2Z;Taux d'entrée;2011;14.49;;;
F3Z;Taux d'entrée;2011;8.63;;;
F4Z;Taux d'entrée;2011;27.11;;;
F5Z;Taux d'entrée;2011;11.38;;;
G0A;Taux d'entrée;2011;34.43;;;
G0B;Taux d'entrée;2011;19.72;;;
G1Z;Taux d'entrée;2011;12.89;;;
H0Z;Taux d'entrée;2011;10.2;;;
J0Z;Taux d'entrée;2011;39.01;;;
J1Z;Taux d'entrée;2011;21.19;;;
J3Z;Taux d'entrée;2011;31.36;;;
J4Z;Taux d'entrée;2011;14.99;;;
J5Z;Taux d'entrée;2011;26.98;;;
J6Z;Taux d'entrée;2011;7.68;;;
K0Z;Taux d'entrée;2011;128.86;;;
L0Z;Taux d'entrée;2011;24.96;;;
L1Z;Taux d'entrée;2011;18.51;;;
L2Z;Taux d'entrée;2011;129.36;;;
L3Z;Taux d'entrée;2011;15.1;;;
L4Z;Taux d'entrée;2011;10.93;;;
L5Z;Taux d'entrée;2011;15.82;;;
L6Z;Taux d'entrée;2011;134.9;;;
M0Z;Taux d'entrée;2011;52.26;;;
M1Z;Taux d'entrée;2011;18.06;;;
M2Z;Taux d'entrée;2011;23.13;;;
N0Z;Taux d'entrée;2011;13.08;;;
P0Z;Taux d'entrée;2011;3.29;;;
P1Z;Taux d'entrée;2011;4.08;;;
P2Z;Taux d'entrée;2011;4.31;;;
P3Z;Taux d'entrée;2011;6.77;;;
P4Z;Taux d'entrée;2011;6.7;;;
Q0Z;Taux d'entrée;2011;16.88;;;
Q1Z;Taux d'entrée;2011;12.71;;;
Q2Z;Taux d'entrée;2011;3.6;;;
R0Z;Taux d'entrée;2011;162.03;;;
R1Z;Taux d'entrée;2011;60.84;;;
R2Z;Taux d'entrée;2011;13.39;;;
R3Z;Taux d'entrée;2011;26.87;;;
R4Z;Taux d'entrée;2011;15.34;;;
S0Z;Taux d'entrée;2011;32.09;;;
S1Z;Taux d'entrée;2011;93.78;;;
S2Z;Taux d'entrée;2011;138.65;;;
S3Z;Taux d'entrée;2011;11.44;;;
T0Z;Taux d'entrée;2011;26.68;;;
T1Z;Taux d'entrée;2011;93.53;;;
T2A;Taux d'entrée;2011;64.67;;;
T2B;Taux d'entrée;2011;29.37;;;
T3Z;Taux d'entrée;2011;91.09;;;
T4Z;Taux d'entrée;2011;186.75;;;
T6Z;Taux d'entrée;2011;931.33;;;
U0Z;Taux d'entrée;2011;47.41;;;
U1Z;Taux d'entrée;2011;315.51;;;
V0Z;Taux d'entrée;2011;188.76;;;
V1Z;Taux d'entrée;2011;149.6;;;
V2Z;Taux d'entrée;2011;68.75;;;
V3Z;Taux d'entrée;2011;29.25;;;
V4Z;Taux d'entrée;2011;64.6;;;
V5Z;Taux d'entrée;2011;162.13;;;
W0Z;Taux d'entrée;2011;38.22;;;
W1Z;Taux d'entrée;2011;73.12;;;
X0Z;Taux d'entrée;2011;0.91;;;
