"Fap","statut","Annee","Pourcentage","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"J4Z","Contrats ou emplois à durée indéterminée","1982-1984",97.0550773189808,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","Intérimaires","1982-1984",0,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","Non-salariés, chefs d'entreprise","1982-1984",NA,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","Apprentis","2017-2019",1.02824509716928,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","Contrats à durée déterminée","2017-2019",4.16940405646141,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","Contrats ou emplois à durée indéterminée","2017-2019",92.1536313538697,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","Intérimaires","2017-2019",2.64871949249961,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","Non-salariés, chefs d'entreprise","2017-2019",NA,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","Apprentis","2003-2005",0,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","Contrats à durée déterminée","2003-2005",1.6147897160631,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","Contrats ou emplois à durée indéterminée","2003-2005",98.3852102839369,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","Intérimaires","2003-2005",0,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","Non-salariés, chefs d'entreprise","2003-2005",NA,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","Apprentis","2017-2019",0,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","Contrats à durée déterminée","2017-2019",8.1456936046928,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","Contrats ou emplois à durée indéterminée","2017-2019",83.2683737145735,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","Intérimaires","2017-2019",8.58593268073368,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","Non-salariés, chefs d'entreprise","2017-2019",NA,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"T3Z","Apprentis","1982-1984",0.146205805458332,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","Contrats à durée déterminée","1982-1984",6.83166830496136,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","Contrats ou emplois à durée indéterminée","1982-1984",92.4828870179883,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","Intérimaires","1982-1984",0.53923887159197,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","Non-salariés, chefs d'entreprise","1982-1984",NA,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","Apprentis","2017-2019",0.314008587199927,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","Contrats à durée déterminée","2017-2019",11.5967820245236,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","Contrats ou emplois à durée indéterminée","2017-2019",86.2909045925115,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","Intérimaires","2017-2019",1.798304795765,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
