"Fap3","Age","Part"
"G0B","50-54 ans",6.96750184413152
"G1Z","50-54 ans",7.97168559800157
"H0Z","50-54 ans",9.39126601014032
"J0Z","50-54 ans",6.90965094516382
"J1Z","50-54 ans",10.0056265885412
"J3Z","50-54 ans",10.9431634148222
"J4Z","50-54 ans",9.57076818744595
"J5Z","50-54 ans",6.59115633198951
"J6Z","50-54 ans",11.4493428356552
"K0Z","50-54 ans",10.9200030679552
"L0Z","50-54 ans",10.4767870192236
"L1Z","50-54 ans",9.53733358227176
"L2Z","50-54 ans",10.802101735524
"L3Z","50-54 ans",11.063567791869
"L4Z","50-54 ans",8.74173352025425
"L5Z","50-54 ans",8.3856406827059
"L6Z","50-54 ans",15.9790342888934
"M0Z","50-54 ans",3.43329268775201
"M1Z","50-54 ans",7.82656288007784
"M2Z","50-54 ans",8.02968053416893
"N0Z","50-54 ans",3.97394016743535
"P0Z","50-54 ans",5.28846153846154
"P1Z","50-54 ans",5.27777777777778
"P2Z","50-54 ans",7.69043846774429
"P3Z","50-54 ans",7.00710207785903
"P4Z","50-54 ans",4.01680160492943
"Q0Z","50-54 ans",4.99707532036905
"Q1Z","50-54 ans",6.31495640685194
"Q2Z","50-54 ans",8.5743688370406
"R0Z","50-54 ans",5.86044173265234
"R1Z","50-54 ans",6.21542996038202
"R2Z","50-54 ans",9.26176555507435
"R3Z","50-54 ans",9.47757856253889
"R4Z","50-54 ans",10.4564815467964
"S0Z","50-54 ans",6.48786536996974
"S1Z","50-54 ans",9.5756904547657
"S2Z","50-54 ans",7.01771996745528
"S3Z","50-54 ans",11.9078974796634
"T0Z","50-54 ans",5.34841192718814
"T1Z","50-54 ans",13.1970534069982
"T2A","50-54 ans",11.4038195344828
"T2B","50-54 ans",10.2802648079559
"T3Z","50-54 ans",12.4746682241018
"T4Z","50-54 ans",13.0942925849935
"T6Z","50-54 ans",12.4207901935663
"U0Z","50-54 ans",6.80092877789888
"U1Z","50-54 ans",9.17361128595047
"V0Z","50-54 ans",7.02872659066132
"V1Z","50-54 ans",6.41591146042185
"V2Z","50-54 ans",6.70361351358916
"V3Z","50-54 ans",6.72432505006881
"V4Z","50-54 ans",8.9749978662423
"V5Z","50-54 ans",7.11292558096892
"W0Z","50-54 ans",7.62166956136137
"W1Z","50-54 ans",14.3349820639646
"ZZZ","50-54 ans",5.5554593970864
"Ensemble","55 ans ou plus",17.2338687194637
"A0Z","55 ans ou plus",14.3783028474168
"A1Z","55 ans ou plus",20.7106422443775
"A2Z","55 ans ou plus",9.40006206817699
"A3Z","55 ans ou plus",17.1833389054772
"B0Z","55 ans ou plus",12.1618884257358
"B1Z","55 ans ou plus",20.0375446504758
"B2Z","55 ans ou plus",21.2565131343093
"B3Z","55 ans ou plus",8.48829956088613
"B4Z","55 ans ou plus",17.1065291690524
"B5Z","55 ans ou plus",14.762926587711
"B6Z","55 ans ou plus",22.4283496950104
"B7Z","55 ans ou plus",21.7879903547141
"C0Z","55 ans ou plus",17.4222724703222
"C1Z","55 ans ou plus",23.2363552621478
"C2Z","55 ans ou plus",22.2000235045246
"D0Z","55 ans ou plus",12.9648939867918
"D1Z","55 ans ou plus",19.2996898412619
"D2Z","55 ans ou plus",18.2262819232329
"D3Z","55 ans ou plus",9.97542925243133
"D4Z","55 ans ou plus",19.2968175026205
"D6Z","55 ans ou plus",18.7098621507751
"E0Z","55 ans ou plus",17.3396879899375
"E1Z","55 ans ou plus",17.0200090817819
"E2Z","55 ans ou plus",13.4904371584699
"F0Z","55 ans ou plus",28.8361944320303
"F1Z","55 ans ou plus",34.5017008740377
"F2Z","55 ans ou plus",21.1714890613973
"F3Z","55 ans ou plus",25.4415536416276
"F4Z","55 ans ou plus",28.9995132652845
"F5Z","55 ans ou plus",29.3969002695418
"G0A","55 ans ou plus",30.9250778681611
"G0B","55 ans ou plus",12.0614489486378
"G1Z","55 ans ou plus",15.0858292825783
"H0Z","55 ans ou plus",22.6371124837481
"J0Z","55 ans ou plus",8.96551866134907
"J1Z","55 ans ou plus",14.2701926621525
"J3Z","55 ans ou plus",19.1268745136255
"J4Z","55 ans ou plus",19.3387627621649
"J5Z","55 ans ou plus",15.1813456766423
"J6Z","55 ans ou plus",26.3438742255488
"K0Z","55 ans ou plus",25.1099350616148
"L0Z","55 ans ou plus",19.9178261971873
"L1Z","55 ans ou plus",18.4567493429462
"L2Z","55 ans ou plus",22.8635767414001
"L3Z","55 ans ou plus",22.4959867753353
"L4Z","55 ans ou plus",19.9790080958288
"L5Z","55 ans ou plus",18.877760384212
"L6Z","55 ans ou plus",32.5495593101227
"M0Z","55 ans ou plus",4.44223831259689
"M1Z","55 ans ou plus",11.9053410709942
"M2Z","55 ans ou plus",18.5194026237754
"N0Z","55 ans ou plus",9.28773169798976
"P0Z","55 ans ou plus",8.33333333333333
"P1Z","55 ans ou plus",10
"P2Z","55 ans ou plus",17.7875409453641
"P3Z","55 ans ou plus",13.1066578022604
"P4Z","55 ans ou plus",7.49176040696425
"Q0Z","55 ans ou plus",10.6960737521666
"Q1Z","55 ans ou plus",14.0727707974963
"Q2Z","55 ans ou plus",22.2435913657413
"R0Z","55 ans ou plus",8.80342173318556
"R1Z","55 ans ou plus",11.8198434419798
"R2Z","55 ans ou plus",17.0501299263751
"R3Z","55 ans ou plus",17.258478531425
"R4Z","55 ans ou plus",19.1747156406565
"S0Z","55 ans ou plus",10.5737412132608
"S1Z","55 ans ou plus",15.4253478230775
"S2Z","55 ans ou plus",10.826227383355
"S3Z","55 ans ou plus",18.9389424739371
"T0Z","55 ans ou plus",6.34514982949865
"T1Z","55 ans ou plus",30.0748925721301
"T2A","55 ans ou plus",25.1951220402991
"T2B","55 ans ou plus",24.9108071587584
"T3Z","55 ans ou plus",25.3564040136792
"T4Z","55 ans ou plus",22.8417940741721
"T6Z","55 ans ou plus",19.8180338654386
"U0Z","55 ans ou plus",13.0531204094205
