"Fap","Annee","Age","effectif_age","Pourcentage"
"D1Z","1983-1985","Moins de 30 ans",47.69424,31.4191966676083
"D1Z","1983-1985","De 30 à 49 ans",85.06846,56.039946856278
"D1Z","1983-1985","50 ans ou plus",19.03698,12.5408564761138
"D2Z","1983-1985","Moins de 30 ans",54.25236,30.7692412396975
"D2Z","1983-1985","De 30 à 49 ans",99.11416,56.2126237330501
"D2Z","1983-1985","50 ans ou plus",22.95359,13.0181350272524
"D3Z","1983-1985","Moins de 30 ans",192.00202,55.426079607121
"D3Z","1983-1985","De 30 à 49 ans",124.83572,36.0368841668034
"D3Z","1983-1985","50 ans ou plus",29.57323,8.53703622607563
"D4Z","1983-1985","Moins de 30 ans",44.73427,28.1293951914707
"D4Z","1983-1985","De 30 à 49 ans",93.01282,58.487472169617
"D4Z","1983-1985","50 ans ou plus",21.28324,13.3831326389123
"D6Z","1983-1985","Moins de 30 ans",59.14902,19.9522238361547
"D6Z","1983-1985","De 30 à 49 ans",194.12579,65.4827622579437
"D6Z","1983-1985","50 ans ou plus",43.17846,14.5650139059016
"E0Z","1983-1985","Moins de 30 ans",165.65537,43.2006246558275
"E0Z","1983-1985","De 30 à 49 ans",168.09832,43.8377121586531
"E0Z","1983-1985","50 ans ou plus",49.70227,12.9616631855194
"E1Z","1983-1985","Moins de 30 ans",64.96337,24.7265688234011
"E1Z","1983-1985","De 30 à 49 ans",156.58163,59.5986084261842
"E1Z","1983-1985","50 ans ou plus",41.18199,15.6748227504148
"E2Z","1983-1985","Moins de 30 ans",35.10018,16.5924030441373
"E2Z","1983-1985","De 30 à 49 ans",137.9624,65.2169802472946
"E2Z","1983-1985","50 ans ou plus",38.4811,18.1906167085682
"ENS","1983-1985","Moins de 30 ans",7192.62745,32.2029106998768
"ENS","1983-1985","De 30 à 49 ans",11043.5411,49.4442636332734
"ENS","1983-1985","50 ans ou plus",4099.16479,18.3528256668499
"F0Z","1983-1985","Moins de 30 ans",140.84611,50.5009104398537
"F0Z","1983-1985","De 30 à 49 ans",109.62423,39.3061861720422
"F0Z","1983-1985","50 ans ou plus",28.42782,10.1929033881041
"F1Z","1983-1985","Moins de 30 ans",37.40308,25.6154302315396
"F1Z","1983-1985","De 30 à 49 ans",71.46096,48.9399064237182
"F1Z","1983-1985","50 ans ou plus",37.15373,25.4446633447422
"F2Z","1983-1985","Moins de 30 ans",40.91639,54.9133240443071
"F2Z","1983-1985","De 30 à 49 ans",23.62923,31.7124644649116
"F2Z","1983-1985","50 ans ou plus",9.96524,13.3742114907813
"F3Z","1983-1985","Moins de 30 ans",19.98656,23.9598364504663
"F3Z","1983-1985","De 30 à 49 ans",40.54781,48.6086097870061
"F3Z","1983-1985","50 ans ou plus",22.88256,27.4315537625276
"F4Z","1983-1985","Moins de 30 ans",36.63653,33.0158709274391
"F4Z","1983-1985","De 30 à 49 ans",59.66591,53.7693385079919
"F4Z","1983-1985","50 ans ou plus",14.66398,13.214790564569
"F5Z","1983-1985","Moins de 30 ans",5.80945,14.8713087632299
"F5Z","1983-1985","De 30 à 49 ans",25.11175,64.2822621478865
"F5Z","1983-1985","50 ans ou plus",8.14362,20.8464290888836
"G0A","1983-1985","Moins de 30 ans",68.20484,30.7333474702708
