"Fap","stat_sl","annee","effectif","pourcentage","part"
"F4Z","cdd","1985-1987",4.86598,0.0454615270202902,4.54615270202902
"F5Z","cdd","1985-1987",1.30695,0.0391073137364383,3.91073137364383
"G0A","cdd","1985-1987",7.11154,0.0310835901945735,3.10835901945735
"G0B","cdd","1985-1987",6.82975,0.0304044374474581,3.04044374474581
"G1Z","cdd","1985-1987",6.05399,0.02380181508208,2.380181508208
"H0Z","cdd","1985-1987",2.1829,0.021836026833435,2.1836026833435
"J0Z","cdd","1985-1987",46.71972,0.102613019298128,10.2613019298128
"J1Z","cdd","1985-1987",10.30034,0.0303747898273999,3.03747898273999
"J3Z","cdd","1985-1987",25.29593,0.0401405831971904,4.01405831971904
"J4Z","cdd","1985-1987",0.67591,0.0197542951585303,1.97542951585303
"J5Z","cdd","1985-1987",9.41063,0.0650071047110762,6.50071047110762
"J6Z","cdd","1985-1987",1.18909,0.0373111989135701,3.73111989135701
"K0Z","cdd","1985-1987",15.00162,0.0956126499721638,9.56126499721638
"L0Z","cdd","1985-1987",43.98927,0.0810471375505505,8.10471375505505
"L1Z","cdd","1985-1987",25.29678,0.0764203602866001,7.64203602866001
"L2Z","cdd","1985-1987",19.22331,0.0889231105277057,8.89231105277057
"L3Z","cdd","1985-1987",5.64467,0.0311720566736151,3.11720566736151
"L4Z","cdd","1985-1987",5.76488,0.0400937510866919,4.00937510866919
"L5Z","cdd","1985-1987",8.22868,0.0311924914641872,3.11924914641872
"L6Z","cdd","1985-1987",0,0,0
"M0Z","cdd","1985-1987",3.28088,0.0986218883070021,9.86218883070021
"M1Z","cdd","1985-1987",7.47156,0.0491655900093217,4.91655900093217
"M2Z","cdd","1985-1987",2.11195,0.0395350478447179,3.95350478447179
"N0Z","cdd","1985-1987",7.47914,0.0499939037856956,4.99939037856956
"P0Z","cdd","1985-1987",109.74022,0.131566017067054,13.1566017067054
"P1Z","cdd","1985-1987",12.62913,0.0335404414576729,3.35404414576729
"P2Z","cdd","1985-1987",8.31141,0.0331188372454616,3.31188372454616
"P3Z","cdd","1985-1987",0.10531,0.00299043011250389,0.299043011250389
"P4Z","cdd","1985-1987",369.48955,0.511038204927469,51.1038204927469
"Q0Z","cdd","1985-1987",15.55903,0.0432373547793608,4.32373547793608
"Q1Z","cdd","1985-1987",3.05186,0.0238138823824276,2.38138823824276
"Q2Z","cdd","1985-1987",1.56069,0.0091308970779187,0.91308970779187
"R0Z","cdd","1985-1987",24.1198,0.0892422860096905,8.92422860096905
"R1Z","cdd","1985-1987",54.62822,0.0803110578169514,8.03110578169514
"R2Z","cdd","1985-1987",24.40129,0.0648489837372662,6.48489837372662
"R3Z","cdd","1985-1987",7.67401,0.0134275829209907,1.34275829209907
"R4Z","cdd","1985-1987",6.44411,0.0242985561346076,2.42985561346076
"S0Z","cdd","1985-1987",9.64328,0.0317333608964271,3.17333608964271
"S1Z","cdd","1985-1987",23.59268,0.0859581912457793,8.59581912457793
"S2Z","cdd","1985-1987",31.99451,0.14317700658857,14.317700658857
"S3Z","cdd","1985-1987",0.25725,0.00100710509216998,0.100710509216998
"T0Z","cdd","1985-1987",6.48868,0.0397092179866354,3.97092179866354
"T1Z","cdd","1985-1987",5.50867,0.0271261912245626,2.71261912245626
"T2A","cdd","1985-1987",0,NA,NA
"T2B","cdd","1985-1987",0,NA,NA
"T2Z","cdd","1985-1987",100.07689,0.275607987449202,27.5607987449202
"T3Z","cdd","1985-1987",14.21048,0.0885435219703577,8.85435219703577
"T4Z","cdd","1985-1987",207.18101,0.177646161422399,17.7646161422399
"T6Z","cdd","1985-1987",3.5202,0.0488374977420877,4.88374977420877
"U0Z","cdd","1985-1987",4.61951,0.0717759470380269,7.1775947038027
"U1Z","cdd","1985-1987",27.98811,0.144048399825072,14.4048399825072
"V0Z","cdd","1985-1987",28.48113,0.095336071927409,9.5336071927409
"V1Z","cdd","1985-1987",17.61536,0.0461558733871354,4.61558733871354
"V2Z","cdd","1985-1987",24.12183,0.104991789324799,10.4991789324799
"V3Z","cdd","1985-1987",14.95199,0.0656683247578402,6.56683247578402
"V4Z","cdd","1985-1987",14.65165,0.113824039151681,11.3824039151681
"V5Z","cdd","1985-1987",103.56595,0.408796700099679,40.8796700099679
"W0Z","cdd","1985-1987",67.06633,0.0731415681206324,7.31415681206324
"W1Z","cdd","1985-1987",9.13691,0.173356197274731,17.3356197274731
"X0Z","cdd","1985-1987",2.69737,0.101130769605693,10.1130769605693
"ZZZ","cdd","1985-1987",1.84921,0.140047000161312,14.0047000161312
"SAL","cdd","1985-1987",3886.14306,0.103538907814035,10.3538907814035
"A0Z","cdd","1986-1988",29.20068,0.0208040481911134,2.08040481911134
"A1Z","cdd","1986-1988",27.9131,0.0799252983322121,7.99252983322121
"A2Z","cdd","1986-1988",2.15693,0.0705818099831508,7.05818099831508
"A3Z","cdd","1986-1988",2.83679,0.0799992216630354,7.99992216630354
"B0Z","cdd","1986-1988",34.76613,0.117505217345985,11.7505217345985
"B1Z","cdd","1986-1988",3.98742,0.0342354237237057,3.42354237237057
"B2Z","cdd","1986-1988",16.1183,0.0478071623453619,4.78071623453619
"B3Z","cdd","1986-1988",32.32788,0.210182293246347,21.0182293246347
